,x (m_tau_tau),y (L),y (L_dd/ss)
0,4.554,1.40294,1.5585
1,5.554,0.976458,1.0975
2,6.554,0.71267,0.805964
3,7.554,0.538633,0.610966
4,8.554,0.418565,0.475453
5,9.554,0.332526,0.377885
6,10.554,0.268949,0.30548
7,11.554,0.221077,0.25095
8,12.554,0.184146,0.208837
9,13.554,0.155131,0.175705
10,14.554,0.131986,0.149262
11,15.554,0.113339,0.127965
12,16.554,0.0981724,0.110649
13,17.554,0.085613,0.0963403
14,18.554,0.0751494,0.0844078
15,19.554,0.0663447,0.0743642
16,20.554,0.0588781,0.065851
17,21.554,0.0525044,0.058588
18,22.554,0.0470545,0.0523916
19,23.554,0.0423558,0.0470578
20,24.554,0.0382719,0.0424256
21,25.554,0.0347028,0.0383839
22,26.554,0.0315676,0.0348355
23,27.554,0.0288028,0.0317106
24,28.554,0.0263544,0.0289469
25,29.554,0.0241761,0.0264905
26,30.554,0.0222345,0.0243028
27,31.554,0.0204938,0.0223478
28,32.554,0.0189321,0.0205946
29,33.554,0.017533,0.0190285
30,34.554,0.0162727,0.0176207
31,35.554,0.0151317,0.0163483
32,36.554,0.0140956,0.0151947
33,37.554,0.0131522,0.0141459
34,38.554,0.0122915,0.0131906
35,39.554,0.0115045,0.0123186
36,40.554,0.0107836,0.0115268
37,41.554,0.0101217,0.0107901
38,42.554,0.00951271,0.0101186
39,43.554,0.00895148,0.00950038
40,44.554,0.00843341,0.00893077
41,45.554,0.00795465,0.00840563
42,46.554,0.00751135,0.00791999
43,47.554,0.00710029,0.0074704
44,48.554,0.00671832,0.00705323
45,49.554,0.00636323,0.00666599
46,50.554,0.00603261,0.00630613
47,51.554,0.00572567,0.00597293
48,52.554,0.00544071,0.00566413
49,53.554,0.00517401,0.00537586
50,54.554,0.00492439,0.0051064
51,55.554,0.00469062,0.00485436
52,56.554,0.00447146,0.0046185
53,57.554,0.00426565,0.00439742
54,58.554,0.00407233,0.00419009
55,59.554,0.00389045,0.00399534
56,60.554,0.0037192,0.00381224
57,61.554,0.00355775,0.00363982
58,62.554,0.00340541,0.00347738
59,63.554,0.00326163,0.00332434
60,64.554,0.00312575,0.00317994
61,65.554,0.00299727,0.0030436
62,66.554,0.00287571,0.00291482
63,67.554,0.00276058,0.00279311
64,68.554,0.00265145,0.00267924
65,69.554,0.00254792,0.00256859
66,70.554,0.00244962,0.00246499
67,71.554,0.00235626,0.00236678
68,72.554,0.00226756,0.00227364
69,73.554,0.0021832,0.00218521
70,74.554,0.00210292,0.00210117
71,75.554,0.0020265,0.00202129
72,76.554,0.00195369,0.00194531
73,77.554,0.00188426,0.00187294
74,78.554,0.00181804,0.00180399
75,79.554,0.00175482,0.00173827
76,80.554,0.00169445,0.00167562
77,81.554,0.00163681,0.00161591
78,82.554,0.00158173,0.00155892
79,83.554,0.00152953,0.00150494
80,84.554,0.00147946,0.00145342
81,85.554,0.00143161,0.00140418
82,86.554,0.00138579,0.0013571
83,87.554,0.00134185,0.00131203
84,88.554,0.00129974,0.00126887
85,89.554,0.0012593,0.00122752
86,90.554,0.00122055,0.0011879
87,91.554,0.00118335,0.00114992
88,92.554,0.00114763,0.0011135
89,93.554,0.00111333,0.00107858
90,94.554,0.00108036,0.00104506
91,95.554,0.00104865,0.0010129
92,96.554,0.00101817,0.000982
93,97.554,0.000988839,0.000952325
94,98.554,0.000960605,0.000923778
95,99.554,0.000933412,0.000896315
96,100.554,0.000907218,0.00086989
97,101.554,0.000881981,0.000844455
98,102.554,0.000857656,0.000819966
99,103.554,0.000834202,0.000796526
100,104.554,0.000811583,0.000773818
101,105.554,0.000789768,0.000751947
102,106.554,0.000768711,0.000730742
103,107.554,0.000748379,0.000710426
104,108.554,0.000728744,0.00069083
105,109.554,0.000709777,0.000671923
106,110.554,0.000691456,0.00065368
107,111.554,0.000673743,0.000636061
108,112.554,0.000656612,0.000619037
109,113.554,0.000640046,0.00060259
110,114.554,0.000624025,0.000586701
111,115.554,0.000608524,0.000571345
112,116.554,0.000593521,0.000556504
113,117.554,0.000578997,0.00054442
114,118.554,0.000564934,0.000528284
115,119.554,0.000551316,0.000514867
116,120.554,0.000538123,0.000501885
117,121.554,0.00052534,0.000489322
118,122.554,0.000512946,0.000477159
119,123.554,0.00050093,0.000465381
120,124.554,0.000489278,0.000453973
121,125.554,0.000477979,0.00044292
122,126.554,0.000467012,0.000432202
123,127.554,0.000456371,0.000421813
124,128.554,0.000446043,0.000411743
125,129.554,0.000436018,0.000401979